 ,Area,Mean,StdDev,Min,Max
1,718,255,0,255,255
2,840,255,0,255,255
3,754,255,0,255,255
4,634,255,0,255,255
5,784,255,0,255,255
6,518,255,0,255,255
7,117,255,0,255,255
8,778,255,0,255,255
9,575,255,0,255,255
